model,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_mae_mean,test_r2,test_rmse,test_mae
Gradient Boosting,0.9566392887469221,0.018955685357730317,1414.8831317089628,923.01894685354,0.96048233541031,1841.788643661087,1082.2233602468232
Random Forest,0.945450851582611,0.04287707586527461,1523.7455221044067,952.2433428722516,0.9305189493227259,2442.1781649753507,1253.9119395681064
Ridge Regression,0.8489773279678774,0.027259110914803198,2690.9929724748754,1964.475446409901,0.8614280939120413,3448.909121027797,2363.9377196623727
ElasticNet Regression,0.8481060594066345,0.027316529266052637,2698.655635100533,1966.3503027711272,0.8603515377414068,3462.280377048689,2362.5399763583537
Lasso Regression,0.8478616218506495,0.027287080175528923,2700.876117632028,1966.9236289998166,0.8600055235601334,3466.567058488565,2362.0453717262462
Linear Regression,0.8478614764706476,0.027286996331505234,2700.8774830428665,1966.9236194192733,0.8600050846524038,3466.5724926382672,2362.04502348956
Polynomial Regression (deg=2),0.7366065559966628,0.24203497450807632,3195.802864942306,1256.8308329681379,0.39868552876247665,7184.474096378017,2488.146562381633
Polynomial Regression (deg=3),0.8746222977619083,0.1689433882660094,2055.7374402738005,865.9315847739279,0.11007247194175196,8740.202119093141,2013.1985964285245
