model,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_mae_mean,test_r2,test_rmse,test_mae
Gradient Boosting,0.8649874060901069,0.051148559268994025,2317.3080890109245,1669.5834899796803,0.9434514878432829,2630.3094846427352,1634.6021185130946
Random Forest,0.8511685602030088,0.05439512894953054,2453.3398088340073,1687.3359453003238,0.9336314524375149,2849.557444315696,1889.3797719459412
Polynomial Regression (deg=3),-0.45451192748409125,1.7809684636273333,6662.830228739968,3295.501391131083,0.880965424424432,3816.2149057591337,2416.9479433023334
ElasticNet Regression,0.760506096978361,0.07812571942889403,3107.1133606724034,2116.899383253417,0.7950853715103379,5007.059371841738,3407.2308309707932
Lasso Regression,0.759051780908494,0.07914089422056708,3115.16508217979,2120.970127435218,0.7950761286243155,5007.1722948613415,3405.816380701908
Linear Regression,0.7590502581574122,0.07914203119075641,3115.1735426617042,2120.975317002475,0.7950758412131418,5007.175806206194,3405.815364262031
Ridge Regression,0.7750557894561154,0.06729153706889886,3027.12719799434,2074.7251609591176,0.7945001467470162,5014.204215473147,3422.1559770381823
Polynomial Regression (deg=2),-2.395073085648653e+19,4.704133039685608e+19,18941154702429.984,12634755530845.492,-1.8782766521422205e+19,47937572669687.48,19906154138781.734
