model,test_r2,test_rmse,test_mae
Gradient Boosting,0.9676234321930117,1667.0919691154925,923.5545603562045
Stacking Regressor,0.9668757786627385,1686.2307095764313,960.93182988415
Weighted Blend (GBR/RF),0.9653137366812381,1725.5315870623972,946.7428980135825
Random Forest,0.9232692237033854,2566.427211753749,1232.227730122032
